"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"DDB_G0270752",2393.43852424332,0.245218495851414,0.159472675449478,1.47005308406186,0.141547377462795,0.258716304555248,"not sig."
"DDB_G0270754",1970.75416783597,0.280917893531728,0.100214266560057,2.89265292242809,0.00382003170290487,0.0135359220190577,"FDR 0.05"
"DDB_G0270756",7.263522689892,-0.3751786213263,0.327066813278456,-1.03904834828109,0.298782251147897,0.453056137211224,"not sig."
"DDB_G0270758",60.3245531615252,0.0762950475666636,0.203097380620264,0.256313141750289,0.797709050474402,0.877486544099345,"not sig."
"DDB_G0270760",1323.85053402128,-0.04737515355177,0.133027809299515,-0.545368378976768,0.585500183813418,0.721256030263482,"not sig."
"DDB_G0270764",115.511869906345,-0.525563454640388,0.181575054750156,-2.14548530879632,0.0319140648026478,0.0803053972064257,"FDR 0.1"
"DDB_G0270766",420.667562017177,-0.733252158962267,0.12337286104777,-5.95927836538025,2.533542161917e-09,3.78693185821749e-08,"FDR 0.05"
"DDB_G0270774",18.3843926783247,-0.0596365236309118,0.283109040506895,-0.598064669406496,0.54979678337775,0.691416233441606,"not sig."
"DDB_G0270776",114.494646818163,-0.235059984842272,0.172967000948741,-0.980856419965041,0.326663550910062,0.482241966132225,"not sig."
"DDB_G0270778",264.620927058354,-0.0777400772174104,0.147543095888201,-0.193304544878039,0.846720467160711,0.911225347470457,"not sig."
"DDB_G0270784",9229.98818532888,-0.0278443245999046,0.104951037999071,-0.468486056105026,0.639437040265297,0.763332462296452,"not sig."
"DDB_G0270788",6.51169861895879,-1.22832492620028,0.340829187461392,-3.20715587442758,0.0013405433845001,0.00556538549359698,"FDR 0.05"
"DDB_G0270800",1218.1972259387,0.351089796131256,0.0891913912297367,3.90598003090163,9.38442619814148e-05,0.000554831326060036,"FDR 0.05"
"DDB_G0270806",1328.17543537972,0.328815266866188,0.0993160986216806,3.2861739883821,0.00101558258391154,0.00437236112444672,"FDR 0.05"
"DDB_G0270808",85.6492657535387,-0.113410614172445,0.18733260929961,0.0658560039302435,0.947492468278408,0.970819581907275,"not sig."
"DDB_G0270814",152.621004491988,-0.629440250076412,0.16518533696085,-3.63758664248733,0.000275204628958155,0.00141691164333216,"FDR 0.05"
"DDB_G0270816",1208.67249188209,0.222968645945027,0.0751059304050985,2.84489722354767,0.00444257549032936,0.0153198480556037,"FDR 0.05"
"DDB_G0270818",10.0381147540668,-0.21572232201245,0.319812811130042,-0.813069002427477,0.416178497403715,0.572759838378593,"not sig."
"DDB_G0270826",42.9785457845515,0.58132165119394,0.245926845714684,2.33702476864053,0.0194378962323067,0.0533035332727015,"FDR 0.1"
"DDB_G0270828",76.079926294444,-0.7356326558797,0.230841443970856,-3.22366024313561,0.00126563464694095,0.00529938555708733,"FDR 0.05"
"DDB_G0270830",106.442780782277,0.0240742582435607,0.150885459981908,0.532319793459529,0.594504525553966,0.728647816075238,"not sig."
"DDB_G0270834",1881.2220255329,0.155593489277306,0.0938038283923452,1.65002988464581,0.098936823915894,0.196623041911503,"not sig."
"DDB_G0270836",227.939133977685,-1.7755325839489,0.204467442319189,-8.59148553689204,8.58520171371855e-18,2.95094585220528e-16,"FDR 0.05"
"DDB_G0270850",199.368743629384,0.194253966313837,0.17658401607191,1.20717703406295,0.227363972958004,0.371715796343819,"not sig."
"DDB_G0270854",257.469261587567,-0.390611386679989,0.169725928810408,-2.19871062325588,0.0278985051021404,0.071971530938065,"FDR 0.1"
"DDB_G0270856",151.29664593734,-0.146698271842185,0.158475249150618,-1.19767283210621,0.23104440989316,0.376139413229709,"not sig."
"DDB_G0270858",134.865181496331,0.30047574813279,0.133816333503787,2.22608009573099,0.026008816913116,0.0681527332075168,"FDR 0.1"
"DDB_G0270864",2237.84051963294,0.023454431713377,0.124845819143968,-0.0600892397725462,0.952084559895624,0.974113992951777,"not sig."
"DDB_G0270866",287.319426210422,-0.103052870552786,0.104504315796169,-1.04050541655673,0.298105148869483,0.452514341838354,"not sig."
"DDB_G0270868",159.931534524636,0.0565681301475138,0.129809895844004,0.34995293771342,0.726374017277123,0.826467898153609,"not sig."
"DDB_G0270870",709.947901036078,-0.201331606991902,0.1267584439956,-1.35129959797302,0.176599480772263,0.306486016303457,"not sig."
"DDB_G0270880",1596.70167035202,-0.0255541418086724,0.0951902464998945,-0.196110464926467,0.844523705477674,0.909437628044831,"not sig."
"DDB_G0270882",49.8403696094932,0.246718957342387,0.198569733867521,1.00315776998592,0.315784744890001,0.471594104505912,"not sig."
"DDB_G0270884",1653.32862325811,-1.33659266277577,0.242475760227052,-5.42139855013817,5.91345535323564e-08,7.07115999281276e-07,"FDR 0.05"
"DDB_G0270894",50.0154391742019,-0.356503695774024,0.225848708345,-1.85652079744628,0.0633793614414578,0.139727545738244,"not sig."
"DDB_G0270898",80.6767461010662,0.204641104231118,0.193098321429346,1.28998867361604,0.197054590699636,0.333664434591127,"not sig."
"DDB_G0270902",221.574628958343,0.491362766486408,0.168387944561219,2.79696728748841,0.00515847558629667,0.0173929538235341,"FDR 0.05"
"DDB_G0270906",6.24705447580973,-0.0875731744011353,0.33164407121365,-0.894119806067235,0.371257793269265,0.527881203291921,"not sig."
"DDB_G0270910",2522.3935607987,1.29051495010111,0.112612946110601,10.9027758229563,1.11793797542208e-27,7.24526214605607e-26,"FDR 0.05"
"DDB_G0270914",23.0809839492332,1.03596782215736,0.293824057083425,2.96201754789572,0.0030563036487423,0.0112231911668781,"FDR 0.05"
"DDB_G0270916",135.797840509379,-0.0375779589610276,0.176987197118662,-0.222017087421846,0.82430058142475,0.895819481497273,"not sig."
"DDB_G0270918",404.027918863073,0.305936681399728,0.138574302311327,1.84035581925897,0.0657160153010539,0.143759074956441,"not sig."
"DDB_G0270920",735.943265291601,-0.850096559623251,0.0992847005193868,-8.34970368635801,6.84344335391993e-17,2.22608559673488e-15,"FDR 0.05"
"DDB_G0270922",389.377306415952,0.283393358371331,0.151067013452878,1.70745021258286,0.0877384042080465,0.179193023229108,"not sig."
"DDB_G0270928",124.471811589289,0.0444567814980431,0.141583596748422,0.47367017490104,0.635735124887829,0.760334952925738,"not sig."
"DDB_G0270932",785.332816333233,0.0363110478039855,0.100971564571932,0.441220147578576,0.659053628716204,0.776594768605215,"not sig."
"DDB_G0270934",146.943557578476,0.532818833853464,0.12686912636454,3.80881068293,0.000139636816558963,0.000784590716469617,"FDR 0.05"
"DDB_G0270936",193.704924524326,-0.0293192321336083,0.186784350028299,-0.0530020208160697,0.957730297600209,0.977064434826457,"not sig."
"DDB_G0270946",230.761029806478,-0.179220719777711,0.149463816449856,-1.56104973165802,0.118512017332637,0.225244465447524,"not sig."
"DDB_G0270948",239.996937750057,0.115284091638404,0.135765964498065,0.608202551542044,0.543053142553449,0.685579357662273,"not sig."
"DDB_G0270958",225.543767854829,-0.209491150285438,0.142860601890162,-1.25054776542472,0.211099518124542,0.350730901932947,"not sig."
"DDB_G0270962",639.311636945576,-0.0759669461557608,0.157357286111223,0.0576078348929614,0.954061008697521,0.975548351661081,"not sig."
"DDB_G0270964",507.022221726905,-0.432659485496064,0.138157846535106,-3.0766780888636,0.00209321221838561,0.00814453333368186,"FDR 0.05"
"DDB_G0270966",482.355817815853,-0.113435995808222,0.126278361187031,-0.968526790860067,0.33278134570502,0.48830169807045,"not sig."
"DDB_G0270972",1073.18409317181,0.0555018561065505,0.140808829804375,0.451403454729597,0.651698793855479,0.770709396828669,"not sig."
"DDB_G0270976",6.46967532778197,-0.430754881460382,0.334999554431157,-1.49507933161286,0.134893739247315,0.249563705863959,"not sig."
